uuid,company_name,founded,short_bio,min_employees,max_employees,email ,phone_number,previous_name,website,country,region,zip_code,street_address1,street_address2,website2,facebook,twitter,linkedin,,,,,,FALSE,,,,0,0,Consulting,,,,,,,,,,,,,,,,
86255283f02c44b0b7d69dfba200eba8,Sequentric Energy Systems,,Sequentric Energy Systems is A Family of Smart Grid Network Technologies,,,,,,https://www.sequentric.com/,United States,North Carolina,,2840 South College Road,,https://www.sequentric.com/,https://www.facebook.com/pages/Sequentric-Energy-Systems/1617464408538574,https://www.linkedin.com/company/sequentric-energy-systems/,,,,,,,FALSE,,,,0,0,,,,,,,,,,,,,,,,,
23d6a4e312fb49b8be0c7a8ae5c5aeb3,Sandbox Learning,1/1/03,Sandbox Learning is a Provider of an educational platform,11,50,info@sandbox-learning.com,(800) 704-7815,,https://www.sandbox-learning.com/,United States,North Carolina,28220,"Post Box 12358,",,https://www.sandbox-learning.com/,https://www.facebook.com/SandboxLearningCo/,https://www.linkedin.com/company/sandbox-learning-inc./,,,,,,,FALSE,,,,0,0,E-Learning,Education,,,,,,,,,,,,,,,
e35edadeaf204cc0bd7ef5baa8543471,Senteon,,Senteon is an owner and operator of a software development company,,,,,,https://senteon.com,United States,North Carolina,,"101 N. Cherry Street,",,https://senteon.com,https://www.facebook.com/pages/Senteon-LLC/1567845533508351,https://twitter.com/senteonllc,https://www.linkedin.com/company/senteon-llc/,,,,,,FALSE,,,,0,0,,,,,,,,,,,,,,,,,
31776394170c4e5f85f7ba829922d990,ShareLockers,,ShareLockers iis a developer of an online web platform for buying goods.,,,,,,http://www.sharelockers.com/,United States,North Carolina,28105,,,http://www.sharelockers.com/,,,,,,,,,FALSE,,,,0,0,Internet,,,,,,,,,,,,,,,,
f3107f6bceba48a58132bd88dc5f5a1f,Scroll,1/1/15,Scroll  is a E-book Creation Services for Attorneys.,1,10,,(919) 616-3084,,https://www.scrolldigital.com/,United States,North Carolina,27609,"4208 Six Forks Road, Suite 1000,",,https://www.scrolldigital.com/,https://www.facebook.com/pg/ScrollDigital/,https://www.linkedin.com/company/scroll/,,,,,,,FALSE,,,,0,0,EBooks,,,,,,,,,,,,,,,,
e45cbbaa0d7b41e5b5758a85afecb3d2,Sabai Technology,1/1/10,Sabai Technology is a focuses on the development and distribution of wireless network equipment for use with VPN clients,1,10,support@sabaitechnology.com,864-962-4072,,https://www.sabaitechnology.com/,United States,South Carolina,29681,205 N Maple Street Ste 2,,https://www.sabaitechnology.com/,https://www.facebook.com/sabairouters,https://twitter.com/SabaiTechnology,https://www.linkedin.com/company/sabai-technology/,,,,,,FALSE,,,,0,0,Computer,,,,,,,,,,,,,,,,
36003756f5ad4dbda27314fad896273e,Residential Management Systems,1/1/94,"Residential Management Systems Provides web-based student housing, conference and judicial management software solutions",11,50,sales@rms-inc.com,+1 919 845 9004,[u'RMS Inc'],https://mercury.rms-inc.com/,United States,North Carolina,27615,"9131 Anson Way,","Suite 301 ,",https://mercury.rms-inc.com/,https://www.facebook.com/ResidentialManagementSystems,https://twitter.com/RMS_Inc,https://www.linkedin.com/company/residential-management-systems-inc-/,,,,,,FALSE,,,,0,0,Higher Education,E-Learning,,,,,,,,,,,,,,,
2662a269425c40dfbafdaf83b77f9318,Regional HealthPlus,1/1/95,"Regional HealthPlus is a network of physicians, hospitals, and other healthcare providers.",,,,864-560-6561,,http://www.regionalhealthplus.com/,United States,South Carolina,29303,101 East Wood Street,,http://www.regionalhealthplus.com/,,,,,,,,,FALSE,,,,0,0,Hospital,Health Care,,,,,,,,,,,,,,,
29e6c17a0858448882d6977b42eb0288,RentalTaxTool,1/1/14,RentalTaxTool is a Developer of a tax management software.,,,,,,http://www.rentaltaxtool.com/,United States,North Carolina,27514,"1289 Fordham Boulevard,","Suite 153,",http://www.rentaltaxtool.com/,,,,,,,,,FALSE,,,,0,0,Management Consulting,Software,,,,,,,,,,,,,,,
e5cb43739f9b4483a82012e1db62381a,RediPay,1/1/16,RediPay is a cloud-based enterprise level application that facilitates direct reimbursement nationwide.,1,10,info@RediPay.team,,,https://www.redipay.team/,United States,North Carolina,28105,131 Matthews Station Street,Suite 2C,https://www.redipay.team/,https://www.facebook.com/RediPay/,https://www.linkedin.com/company/redipay/,,,,,,,FALSE,,,,0,0,Internet,,,,,,,,,,,,,,,,
9e468e489ede4ab792014a06900ad755,Quantworks,1/1/15,"Quantworks is part laboratory, part foundry.",11,50,,,,http://quantworks.com,United States,North Carolina,27516,"601 West Rosemary Street,","Chapel Hill, NC, , U.S.",http://quantworks.com,https://twitter.com/QuantworksInc,https://www.linkedin.com/company/quantworks-inc/about/,,,,,,,FALSE,,,,0,0,Computer,Software,Data Mining,,,,,,,,,,,,,,
1c4c1f78897942d4ab48cb2010a60953,Risk Technology Solutions,1/1/10,Risk Technology Solutions  is a Developer of risk-management software.,11,50,,,,http://www.risktechnologysolutions.com/,United States,North Carolina,28210,6100 Fairview Road,Suite 225,http://www.risktechnologysolutions.com/,https://www.linkedin.com/company/risk-technology-solutions/about/,,,,,,,,FALSE,,,,0,0,Software,Risk Management,,,,,,,,,,,,,,,
c8d525f8c8f245fcac74b6cd57377d30,Power-Utility Products,1/1/73,"PUPCO is a distributor and servicer of strut channel, cable tray, fittings, and associated components used in electrical infrastructure.",1,10,,704-375-0776,,http://www.pupco.com/,United States,North Carolina,28208,925 Tuckaseegee Rd,,http://www.pupco.com/,https://www.linkedin.com/company/power-utility-products-co/,,,,,,,,FALSE,,,,0,0,Mining,,,,,,,,,,,,,,,,
b72be454cc5f4ae98f72469f071af784,R65 Labs,1/1/14,"R65 Labs is  a digital healthcare platform based in Durham, North Carolina.",11,50,,,,https://www.r65labs.com/,United States,North Carolina,27701,108 And 1/2 East Parrish Street,,https://www.r65labs.com/,https://www.linkedin.com/company/r65/about/,,,,,,,,FALSE,,,,0,0,Health Care,,,,,,,,,,,,,,,,
fff17033a1e24d4c8b2a156083f92725,RapidConnect,,RapidConnect is an Operator of a mobile health company,1,10,,,,https://www.mdinterconnect.com/,United States,North Carolina,27608,"813 Wayne Drive,",,https://www.mdinterconnect.com/,,,,,,,,,FALSE,,,,0,0,Health Care,,,,,,,,,,,,,,,,
c091373e8a0d46b7b0638af3e957e4a2,Premier Wellness Care,,Premier Wellness Care is a Provider of a platform for connection with healthcare professionals.,,,,,,,United States,South Carolina,29631,"400 Pendleton Road,",,,,,,,,,,,FALSE,,,,0,0,Health Care,,,,,,,,,,,,,,,,
c264fbed537146348e9d83078dee67ac,Qlair,,qlair is the leading platform for proactive clean air management in commercial buildings using Artificial Intelligent (AI) based technology.,,,incubators@i-qlair.com,+1 919 376 7683,,https://i-qlair.com/,United States,North Carolina,27606,"1017 Main Campus dr.,",Suite 1600,https://i-qlair.com/,https://twitter.com/i_QlAir?lang=en,https://www.linkedin.com/company/i-qlair/,,,,,,,FALSE,,,,0,0,Artificial Intelligence,,,,,,,,,,,,,,,,
c3705fd092d24dc3bbd07c1b5311ab96,Quitchet,1/1/14,Quitchet is the Developer of a home trading application intended to organize home selling process.,11,50,,,,http://www.quitchet.com,United States,South Carolina,29605,9 Ivy Lawn Place,"Greenville, SC United States",http://www.quitchet.com,,,,,,,,,FALSE,,,,0,0,Apps,Software,Real Estate,,,,,,,,,,,,,,
98df41e6f3944ae3a70b94cf351d79b4,Protopia.co,1/1/16,Provider of an adviser network platform intended to provide mentoring and network acceleration services.,1,10,team@protopia.co,+1 919-200-0629,,https://protopia.co/,United States,North Carolina,27512,PO Box 1861,,https://protopia.co/,https://www.facebook.com/protopia/,https://twitter.com/protopia,https://www.linkedin.com/company/protopia/about/,,,,,,FALSE,,,,0,0,Communities,Network Security,,,,,,,,,,,,,,,
545dcceb408f4b79a0ccfaa6a293a41b,PT Wired,1/1/16,PT Wired is a physical therapy SaaS product.,1,10,,,,https://www.ptwired.com/,United States,North Carolina,,201 W Main St,,https://www.ptwired.com/,https://www.facebook.com/ptwired/,https://twitter.com/ptwiredapp,https://www.linkedin.com/company/pt-wired/,,,,,,FALSE,,,,0,0,Wellness,Fitness,Health Care,,,,,,,,,,,,,,
959d917708e844acba98ca9ebbfae483,PT on Demand,1/1/16,PTonDemand is an all inclusive office management and marketing platform.,1,10,info@ptondemand.com,843-640-5244,,http://www.ptondemand.com/,United States,South Carolina,29492,"115 Pier View Street, Daniel Island",,http://www.ptondemand.com/,https://www.facebook.com/PTonDemand/,https://www.linkedin.com/company/pt-on-demand/,,,,,,,FALSE,,,,0,0,Wellness,Fitness,Health Care,,,,,,,,,,,,,,
df21e10afec44da2afd820eecb248b81,ProActive Living,,ProActive Living is a provider of a cloud-based health and fitness platform,,,info@proactively.com,321-252-9707,,https://www.proactivelivingusa.com/,United States,South Carolina,29201,1225 Laurel St.,Suite 112,https://www.proactivelivingusa.com/,,,,,,,,,FALSE,,,,0,0,Communities,,,,,,,,,,,,,,,,
5e179ada3c924f1686f9bbb7216b567f,Pro Systems (North Carolina),,Pro Systems is a Developer of network monitoring software.,1,10,pros@theprosystemsinc.com,704-849-0400,,http://www.prosystems.com/,United States,North Carolina,28262,"P.O. Box 620490,",,http://www.prosystems.com/,https://www.facebook.com/theprosystemsinc/,https://www.linkedin.com/company/pro-systems-inc/,,,,,,,FALSE,,,,0,0,Computer,Network Security,,,,,,,,,,,,,,,
8cfc68b578b84e47a83133c078c1d532,DeGen Medical,,DeGen Medical is a medical device development company focused on developing medical implants for complex spinal disorders.,,,customerservice@degenmedical.com,1-877-240-7838,,http://www.degenmedical.com/,United States,South Carolina,,1321-C North Cashua Drive,,http://www.degenmedical.com/,https://www.linkedin.com/company/degen-medical/,,,,,,,,FALSE,,,,0,0,Medical Device,Manufacturing,Medical,,,,,,,,,,,,,,
4a1b6bfc683545a497de8951dbbfc58b,Cutting Edge Spine,1/1/09,Cutting Edge Spine is a medical device company that develops and distributes new generation spinal technologies.,1,10,Info@CuttingEdgeSpine.com,704.243.0892,[u'CES'],http://www.cuttingedgespine.com,United States,North Carolina,28173,"101 Waxhaw Professional Park,",Suite A.,http://www.cuttingedgespine.com,https://www.facebook.com/cuttingedgespine/,https://twitter.com/CESSpine/,https://www.linkedin.com/company/cutting-edge-spine/,,,,,,FALSE,,,,1250000,0,Medical Device,Manufacturing,Medical,,,,,,,,,,,,,,
a82c0a1bc4b7432582d1f7d55380a1e9,Augmenta Spine,,Augmenta Spine is a medical device company that specializes in the development of new and innovative spinal treatments and implants.,,,info@augmentaspine.com,864-585-7221,,http://www.augmentaspine.com/,United States,South Carolina,29307,109 Whites Mill Way,,http://www.augmentaspine.com/,https://www.facebook.com/augmenta.spine,,,,,,,,FALSE,,,,0,0,Medical Device,Health Diagnostics,Health Care,Medical,,,,,,,,,,,,,
5ef31e7592614c49ac30a50c1a6a3ba1,youturn,9/1/18,youturn provides a new way to talk about addiction through our proprietary content and platform,1,10,shay@youturn.net,864.373.5007,,http://www.youturn.net,United States,South Carolina,29607,Suite 303,,http://www.youturn.net,https://twitter.com/youturnsocial,https://www.linkedin.com/company/youturnsocial/?viewAsMember=true,,,,,,,FALSE,,,,1050000,0,,,,,,,,,,,,,,,,,
4ccd13a986c542e9aff0767a003dc776,P-Tech,,P-TECH 9-14 School Model is a pioneering education reform initiative created by IBM,,,ptechnyc@schools.nyc.gov,+1 718-221-1593,,http://www.ptech.org/,United States,North Carolina,,830 Tyvola Road,,http://www.ptech.org/,https://www.facebook.com/PathwaysInTech/,https://twitter.com/PTECHNETWORK,https://www.linkedin.com/school/pathways-in-technology-early-college-high-school/,,,,,,FALSE,,,,0,0,Education,,,,,,,,,,,,,,,,
ebba99f10f41481baece7f30ddb65b78,Physical Devices,,Physical Devices is a developer of RF technology for smartphones,,,info@physicaldevices.com,,,,United States,North Carolina,,28 Surrey Lane,,,,,,,,,,,FALSE,,,,0,0,Information Services,Wireless,Information Technology,,,,,,,,,,,,,,
5a463633b50a4193bf656e4ea8c8f66f,PEC360,1/1/09,PEC360 is a Provider of patient management platform,11,50,,843-628-7295,"[u'Population Heath Management Solutions', u' PEC ']",https://pec360.com/,United States,South Carolina,29406,"2420 Mall Drive,",,https://pec360.com/,https://www.linkedin.com/company/pec360/,,,,,,,,FALSE,,,,0,0,Hospital,Health Care,,,,,,,,,,,,,,,
33ebc6cf80c3408ba2f2a5e516c4c576,Delta Gypsum,,"Delta Gypsum supplies drywall, steel studs, insulation, and acoustical ceilings.",,,,(919) 263-7252,,http://deltagypsum.com,United States,North Carolina,27603,3640 Banks Rd.,,http://deltagypsum.com,https://twitter.com/DeltaGypsum,https://www.linkedin.com/company/delta-gypsum,,,,,,,FALSE,,,,0,0,Building Material,,,,,,,,,,,,,,,,
895e0560231c49e1bfa39687e3dc4903,PIMSY,,"PIMSY EHR, client management, HR management, billing, and utilities software for the behavioral and mental health industries",,,hello@pimsyehr.com,+1 877-334-8512,,https://www.pimsyehr.com/,United States,North Carolina,,"Waynesville, NC",,https://www.pimsyehr.com/,https://www.facebook.com/PIMSYEMR,https://twitter.com/PIMSY_EHR,https://www.linkedin.com/showcase/pimsy-ehr-emr-for-mental-&-behavioral-health-/,,,,,,FALSE,,,,0,0,,,,,,,,,,,,,,,,,
55100156ba374728bd74ef33dcd21a0a,Patrix,,Patrix is an international intellectual property case management software provider,,,mail@patrix.com,+46 31-50 77 60,,http://www.patrix.com/,United States,South Carolina,,BÃ_ckebols GÃ¥rd 1,422 59 Hisings Backa,http://www.patrix.com/,,,,,,,,,FALSE,,,,0,0,Software,Internet,,,,,,,,,,,,,,,
d93d1fc7914b4432ba40b13b9e0ece7a,Patient Care Technology Systems,1/1/09,Patient Care Technology Systems is a developer of real-time location-enabled workflow automation solutions,,,,,,,United States,North Carolina,,11325 North Community House Road,,,,,,,,,,,FALSE,,,,0,0,Computer,Software,,,,,,,,,,,,,,,
b822232476f643039e31650c5590f119,OpsAssure,,OpsAssure is a developer of a SaaS checklist application,,,,,,http://www.opsassure.com/login,United States,South Carolina,,4600 Goer Drive,,http://www.opsassure.com/login,https://www.facebook.com/pages/OpsAssure/217400225413017,https://twitter.com/opsassure,,,,,,,FALSE,,,,0,0,Apps,Software,SaaS,,,,,,,,,,,,,,
2a1f56aca0fa4435b17cc9194142c28c,Vincent Auto Solutions,,Vincent Auto Solutions engages in the remarketing of total-loss and fleet vehicles.,,,,(270) 338-9897,,http://www.vincentautosolutions.com,United States,South Carolina,42345,5770 US Hwy 62 W.,,http://www.vincentautosolutions.com,,,,,,,,,FALSE,,,,0,0,Auctions,Automotive,,,,,,,,,,,,,,,
a7a975c1512d4b809136d9d82b24bc57,Ocean Watch,,Ocean is a Developer of a mobile application which helps users to track the state of the tides.,,,,,,http://www.oceanwatchapp.com/,United States,North Carolina,27514,"713 Greenwood Road,",,http://www.oceanwatchapp.com/,,,,,,,,,FALSE,,,,0,0,Apps,,,,,,,,,,,,,,,,
619fbd8f9901468ab260fe61cb675c94,Oates & Company (dba OC),1/1/88,Oates & Company (dba OC) is a provider of business software and services.,,,john@oatesco.com,(336) 230-0200,,http://www.oatesco.com/,United States,North Carolina,27408,"2309 W Cone Blvd,",,http://www.oatesco.com/,https://www.facebook.com/Oates-Company-LLC-163060088545/,https://twitter.com/oatesco,https://www.linkedin.com/company/oates-&-company-llc/,,,,,,FALSE,,,,0,0,Software,,,,,,,,,,,,,,,,
2ec0a3a4af4c4136972e4335b9a44a28,Nexjen Systems,1/1/06,"Nexjen Systems is a full service system integrator that specializes in the design and fabrication of custom test,",51,100,,,,http://www.nexjen.com,United States,North Carolina,28216,5933 Brookshire Blvd,"Charlotte, NC",http://www.nexjen.com,https://www.linkedin.com/company/nexjen-systems/about/,,,,,,,,FALSE,,,,0,0,Electronics,Manufacturing,Wireless,,,,,,,,,,,,,,
2da0bb05ec3e4a8c8f0a574d8c4e561e,Next Level 11,1/1/00,"NextLevel Management is a venture capital firm based in Laguna Niguel,",1,10,scott@nextlevel11.com,888-635-3835,,http://www.nextlevel11.com/about.php,United States,North Carolina,28904,3280 NC 69 Suite 3,"Hayesville, NC",http://www.nextlevel11.com/about.php,,,,,,,,,FALSE,,,,0,0,Hospital,Software,,,,,,,,,,,,,,,
c8a6646a2ca3460db8304176243d7ab3,myBeeHyve,1/1/17,myBeeHyve is a software company.,1,10,info@mybeehyve.com,(984) 221-0751,,https://www.mybeehyve.com/,United States,North Carolina,27603,"Raleigh, North Carolina",,https://www.mybeehyve.com/,https://www.facebook.com/mybeehyve/,https://twitter.com/myBeeHyveBuzz,https://www.linkedin.com/company/mybeehyve/,,,,,,FALSE,,,,0,0,Computer Vision,Software,,,,,,,,,,,,,,,
a1923e9ef43240d587c6ec8e4bbf9605,Network Data Security Experts,1/1/96,"Network Data Security Experts Inc., NDSE is a growing IT Support and managed services provider.",11,50,secure@ndse.net,877-440-6373,,https://www.ndse.net/,United States,North Carolina,28277,13850 Ballantyne,"Corporate PL Suite 500 Charlotte, NC",https://www.ndse.net/,https://www.facebook.com/NDSEINC,https://twitter.com/GoNDSE,https://www.linkedin.com/company/network-data-security-experts-inc-/,,,,,,FALSE,,,,0,0,,,,,,,,,,,,,,,,,
dbc782594d8d4eb59ef44e3c796c7946,Netstaff,1/1/96,"NetStaff.com is a game changing, straight forward, and downright simple way to manage and recruit staff from the Philippines.",1,10,,,,http://www.netstaff.com/,United States,North Carolina,94107,"168 South Park San Francisco, CA","an Francisco, CA",http://www.netstaff.com/,,,,,,,,,FALSE,,,,0,0,Software,Electronics,Financial Services,,,,,,,,,,,,,,
0291e0754cf24a9bbfe20788bb583476,Network Integrity Systems,1/1/03,Network Integrity Systems  is a Developer of network infrastructure security products company.,11,50,,828.322.2181,,https://www.networkintegritysystems.com/our-company,United States,North Carolina,28602,1937 Tate Boulevard South East,,https://www.networkintegritysystems.com/our-company,https://www.facebook.com/networkintegritysystems/,https://www.linkedin.com/company/network-integrity-systems/,,,,,,,FALSE,,,,0,0,Information Technology,,,,,,,,,,,,,,,,
6610d1d620354e99b5a0144e8dd5a235,Blume Supply,,"Blume Supply is a full service supplier to the construction, industrial and woodworking industries.",,,info@blumesupply.com,704.523.7811,,http://blumesupply.com/,United States,North Carolina,28209,3316 South Boulevard,,http://blumesupply.com/,,,,,,,,,FALSE,,,,0,0,Building Material,Construction,,,,,,,,,,,,,,,
22bb1ee83b4140769690dc86e8057d85,Net Direct Systems,1/1/99,Net Direct Systems is a Provider of IT system integration services,11,50,,919-249-1500,[u'NDS'],https://www.netdirectsystems.com,United States,North Carolina,27539,"2524 Reliance Avenue,",,https://www.netdirectsystems.com,,,,,,,,,FALSE,,,,0,0,Information Services,Information Technology,,,,,,,,,,,,,,,
9a645718ae934969aa643cfdc1db85e3,MTI Film,,"MTI Film is a full service post production facility providing high quality post finishing, world-class software applications",,,,+1 323 465 6478,,http://www.mtifilm.com/,United States,South Carolina,90038,"1016 North Sycamore Avenue,",,http://www.mtifilm.com/,https://www.facebook.com/MTIFilm,https://twitter.com/MTIFilm,https://www.linkedin.com/company/mti-film/,,,,,,FALSE,,,,0,0,Computer,Broadcasting,Film Production,Software,,,,,,,,,,,,,
877a36da050f40bab39d22c352905555,MotorCo Applications,,MotorCo Applications is an interactive guide that gets you places faster enhancing your travel experience.,,,,,,https://www.motorcoapps.com/,United States,North Carolina,27516,7208 Stonecrest View Lane,,https://www.motorcoapps.com/,,,,,,,,,FALSE,,,,0,0,iOS,,,,,,,,,,,,,,,,
630e880a91264550ac00b8775704f70c,My Happy Plates,1/1/16,My Happy Plates is changing the way people shop for food.,1,10,info@myhappyplates.com,,,https://myhappyplates.com/,United States,North Carolina,,"P.O. Box 16372, Chapel Hill, NC 27516-6372, US",,https://myhappyplates.com/,https://www.facebook.com/myhappyplates,https://www.linkedin.com/company/my-happy-plates/about/,,,,,,,FALSE,,,,0,0,Food and Beverage,,,,,,,,,,,,,,,,
bfc4480d79d64ddf91a136d88834f92a,Mockout,1/1/16,Mockout is a  fantasy games application designed to offer mock draft contests.,1,10,,,,https://www.mockout.com/,United States,North Carolina,27705,"Wilson Street, ,",,https://www.mockout.com/,https://www.facebook.com/MockOut,https://twitter.com/mockout_app,https://www.linkedin.com/company/mockout/,,,,,,FALSE,,,,0,0,Media and Entertainment,,,,,,,,,,,,,,,,
04bf65c701b64d5c963c18eb964e0624,Club Horizons,,Club Horizons is a privately-owned and managed business focuses on special need individuals who may need some extra care during the day.,,,info@clubhorizonssc.com,843.992.0955,,http://clubhorizonssc.com,United States,South Carolina,29406,8088 Rivers Avenue,,http://clubhorizonssc.com,,,,,,,,,FALSE,,,,0,0,Hospital,Health Care,,,,,,,,,,,,,,,
30440d5a6f51467884beb0fc8f9d6012,Meteor Affinity,1/1/01,Meteor Affinity is a new media organization specializing in affinity marketing.,11,50,,(914) 488-4326,,https://meteoraffinity.com/,United States,North Carolina,28132,"P.O. Box 1162,",,https://meteoraffinity.com/,https://www.facebook.com/pages/category/Local-Business/Meteor-Affinity-Inc-1345135705570950/,https://twitter.com/meteoraffinity,https://www.linkedin.com/company/meteor-affinity/,,,,,,FALSE,,,,0,0,Marketing,Advertising,,,,,,,,,,,,,,,
e463b64e619e455ca9e101cbc4162e75,MedProcure,1/1/07,MedProcure is in the business of transforming the supply chain for Alternate site healthcare facilities.,,,,+1 864-482-2018,,https://www.medprocure.com/,United States,South Carolina,29640,"1814 E Main St, Suite A Easley",,https://www.medprocure.com/,https://www.facebook.com/medprocure/?ref=hl,https://twitter.com/medprocure,,,,,,,FALSE,,,,0,0,Software,,,,,,,,,,,,,,,,
23dae907d3dd4df988941c6f68497343,Market Vue Partners,1/1/06,Market Vue Partners is a  software platform for customer sales analytics,11,50,Info@mvue.com,(919) 987-1796,,http://www.mvue.com/,United States,North Carolina,27615,"9121 Anson Way, Suite 200",,http://www.mvue.com/,https://www.facebook.com/MarketVuePartners,https://twitter.com/MktVue,,,,,,,FALSE,,,,0,0,Market Research,,,,,,,,,,,,,,,,
c05be65f9221474a94dba4ab1643207f,LuDawgs,1/1/11,"Provider of online daily fantasy gaming space in terms of community, traffic, tools and other related daily gaming endeavors.",1,10,admin@ludawgs.com,,,http://www.ludawgs.com,United States,North Carolina,28208,4024 Triangle Drive,,http://www.ludawgs.com,https://www.facebook.com/pg/LuDawgscom-197343950284337/,,,,,,,,FALSE,,,,0,0,Gaming,Sports,Events,,,,,,,,,,,,,,
8c06735d2bfe4945a475363bed3ca94f,Catalyst Clinical Research,,"Catalyst Clinical Research is a provider of clinical operation solutions to the biotechnology, pharmaceutical and medical device companies.",,,,,,http://catalystcr.com/,United States,North Carolina,27713,5826 Fayetteville Rd Suite 202,,http://catalystcr.com/,https://www.facebook.com/CatalystClinicalResearchLlc/,https://www.linkedin.com/company/catalyst-clinical-research-llc,,,,,,,FALSE,,,,0,0,Pharmaceutical,,,,,,,,,,,,,,,,
590d864f91f74743ac63c29bef92429c,LEVR Studios,1/1/15,LEVR Studios is a Provider of 360Âº video and virtual reality (VR) products,,,info@levrstudios.com,919-533-9644,[u'LEVR'],http://levrstudios.squarespace.com/,United States,North Carolina,,,,http://levrstudios.squarespace.com/,https://www.facebook.com/LEVRStudios/,https://twitter.com/levrstudios,,,,,,,FALSE,,,,0,0,Virtual Reality,,,,,,,,,,,,,,,,
